address,lat,lon
"Алтайский край г. Барнаул, пр-кт Красноармейский, 94",53.3423531155,83.7703388929
"Алтайский край г. Барнаул, ул. Червонная, 8",53.3674354553,83.7517852783
"Алтайский край г. Барнаул, ул. Антона Петрова, 130",53.355754437899996,83.7177354097
"Алтайский край г. Барнаул, пр-кт Ленина, 148",53.3776512146,83.7456817627
"Алтайский край г. Барнаул, ул. Северо-Западная 37",53.3701565613,83.7456817627
"Алтайский край г. Барнаул, ул. Червонная, 9",53.3661395658,83.7517029047
"Алтайский край г. Барнаул, пр-кт Ленина, 69",53.350954783,83.7733107805
"Алтайский край г. Барнаул, ул. Георгия Исакова, 138",53.3597852181,83.7213349342
"Алтайский край г. Барнаул, ул. Деповская, 32",53.355799262,83.7661653757
"Алтайский край г. Барнаул, ул. Георгия Исакова, 113а",53.355506897,83.72806549069999
"Алтайский край г. Барнаул, ул. Воронежская, 2",53.363892443800005,83.7390321493
"Алтайский край г. Барнаул, ул. Воронежская,2",53.3641581354,83.7395364046
"Алтайский край г. Барнаул, пр-кт Ленина, 89",53.3549668064,83.7678819895
"Алтайский край г. Барнаул, пр-кт Красноармейский, 110",53.347255706800006,83.7663650513
"Алтайский край г. Барнаул, пр-кт Социалистический, 126б",53.3510220267,83.7669754028
"Алтайский край г. Барнаул, ул. Балтийская, 6",53.33622905439999,83.68971705439999
"Алтайский край г. Барнаул, Павловский тракт, 112а",53.3451779236,83.69193267819999
"Алтайский край г. Барнаул, проезд Северный Власихинский, 34",53.332974707,83.6807174683
"Алтайский край г. Барнаул, ул. Взлетная, 28",53.3410237183,83.6655044556
"Алтайский край г. Барнаул, ул. Шумакова, 22",53.3408734282,83.6762470007
"Алтайский край г. Барнаул, ул. Антона Петрова, 112",53.353366851800004,83.7262878418
"Алтайский край г. Барнаул, ул. 42-й Краснознаменной Бригады, 8",53.353836561899996,83.7052953243
"Алтайский край г. Барнаул, ул. Советской Армии, 73",53.345756530799996,83.7318191528
"Алтайский край г. Барнаул, ул.Водопроводная, 87",53.367752811,83.7904661894
"Алтайский край г. Барнаул, ул. Горно-Алтайская, 7",53.374141174399995,83.7447237968
"Алтайский край г. Барнаул, ул.Профинтерна, 53а",53.3567629691,83.7763792276
"Алтайский край г. Барнаул, ул. Горно-Алтайская, 17",53.3719712866,83.7392145395
"Алтайский край г. Барнаул, ул. Союза Республик, 36",53.3522186279,83.775894165
"Алтайский край г. Барнаул, пр-кт Ленина, 38",53.3418731689,83.78449249270001
